user,id,timestamp,changeset,lon,lat,version,uid
Łukasz Dudek,25248662,2017-04-28T08:48:00Z,48221143,116.391248,39.9059631,88,3892001
R438,64603903,2012-06-26T05:37:01Z,12018647,116.4837242,39.9297131,2,376715
随风-125,239434654,2016-01-04T03:02:10Z,36351492,116.4299331,40.0203814,3,2933900
aighes,253125798,2016-12-17T15:02:57Z,44471916,116.3656394,39.8563887,4,110639
nuklearerWintersturm,266249855,2009-11-07T17:38:37Z,3057320,116.2606403,39.9880197,4,75424
_kendell,269618423,2008-12-23T14:47:09Z,576539,116.3478321,39.698477,3,68934
GanDhi,271824595,2010-09-11T02:06:27Z,5746283,116.1969609,39.9931285,2,253506
Kartografiertier,274730796,2015-05-10T06:55:29Z,30955428,116.5289641,40.0026738,2,2461407
Yan Li,277034164,2008-07-08T00:41:05Z,427705,116.1739833,39.9842524,1,16335
Lackness Franc,280447423,2008-07-23T13:03:26Z,579505,116.1585512,40.0063004,1,53125
Lackness Franc,286236895,2008-08-08T14:04:36Z,136061,116.1666667,39.99455,1,53125
R438,288040413,2012-02-15T18:39:26Z,10695061,116.3817711,39.870477,6,376715
R438,289124811,2012-05-25T13:17:10Z,11698440,116.4774328,39.8448966,4,376715
R438,289557393,2012-08-31T13:15:35Z,12930882,116.2146764,39.977694,2,376715
R438,293036778,2011-12-02T16:32:59Z,10018011,116.1769728,40.3114586,2,376715
_kendell,300237991,2008-12-21T13:35:47Z,512907,116.5326174,39.7557076,17,68934
srividya_c,320475903,2015-07-21T07:51:48Z,32769976,116.4832797,39.8081147,4,2115749
R438,320693100,2011-08-21T05:04:56Z,9080626,116.5407215,39.8680199,5,376715
R438,321204740,2011-08-31T03:04:04Z,9172854,116.3851797,39.9924269,3,376715
R438,321559476,2013-08-21T16:37:08Z,17443426,116.3460931,40.0182523,4,376715
R438,321719102,2013-10-02T19:35:18Z,18150110,116.6349978,39.920619,9,376715
R438,322664431,2011-06-02T08:30:53Z,8317254,116.2000171,39.8267286,3,376715
_kendell,324275270,2009-01-01T14:56:25Z,703729,116.2646332,39.8071612,1,68934
_kendell,331212084,2009-01-11T14:28:12Z,771053,116.5260249,39.9119569,1,68934
Павел Гетманцев,339088654,2016-03-18T13:30:06Z,37918980,116.402067,39.9477287,7,571410
Esperanza36,340249421,2009-04-25T00:03:22Z,934632,116.3698003,39.9411477,4,83557
R438,343093625,2012-05-06T14:43:10Z,11519187,116.4006153,39.9170091,2,376715
Chen Jia,355783009,2014-01-26T10:13:48Z,20207165,116.69702,39.8495872,4,288524
hanchao,356722089,2016-10-03T09:07:41Z,42600027,116.7330209,40.0629865,3,499500
wangchun,358364978,2009-03-10T12:42:39Z,777758,116.516541,40.274391,1,13721
jamesks,380650585,2009-04-22T16:19:52Z,900495,116.788774,40.4197207,1,2500
R438,381938709,2012-02-29T15:46:22Z,10829219,116.3553357,40.098297,2,376715
R438,384252712,2012-01-20T09:03:47Z,10444272,116.5101896,39.8645045,2,376715
Iguana_masch,394240104,2009-05-12T01:57:26Z,1159803,116.575684,40.043608,2,119981
XBear,420508640,2012-10-26T17:40:39Z,13641086,116.9623592,39.5166153,2,42537
