type,id,value,key
regular,25248662,2,admin_level
alt_name,25248662,Bejĝino,eo
alt_name,25248662,Beijing,fr
alt_name,25248662,Peking,is
alt_name,25248662,Peking,sv
regular,25248662,yes,capital
gns,25248662,22,ADM1
gns,25248662,ADM1,DSG
gns,25248662,-1898545,UFI
gns,25248662,9310007,UNI
is_in,25248662,Asia,continent
is_in,25248662,China,country
is_in,25248662,CN,country_code
is_in,25248662,CN-11,iso_3166_2
regular,25248662,北京市,name
name,25248662,Beijing,af
name,25248662,ቤዪጂንግ,am
name,25248662,Pequín,an
name,25248662,Beȝcinȝ,ang
name,25248662,بكين,ar
name,25248662,بيكين,arz
name,25248662,Beixín,ast
name,25248662,Pekin',ay
name,25248662,Pekin,az
name,25248662,Пекин,ba
name,25248662,Pekėns,bat-smg
name,25248662,Beijing,bcl
name,25248662,Пекін,be
name,25248662,Пэкін,be-tarask
name,25248662,Пекин,bg
name,25248662,Péycing,bjn
name,25248662,বেইজিং,bn
name,25248662,པེ་ཅིང་གྲོང་ཁྱེར།,bo
name,25248662,বেইজিং,bpy
name,25248662,Beijing,br
name,25248662,Pequín,ca
name,25248662,Pekín,cbk-zam
name,25248662,Báe̤k-gĭng,cdo
name,25248662,Beijing,ceb
name,25248662,پێکەن,ckb
name,25248662,Pekin,crh
name,25248662,Peking,cs
name,25248662,Пекин,cv
name,25248662,Beijing,cy
name,25248662,Beijing,da
name,25248662,Peking,de
name,25248662,ބީޖިންގ,dv
name,25248662,Πεκίνο,el
name,25248662,Beijing,en
name,25248662,Pekino,eo
name,25248662,Pekín,es
name,25248662,Peking,et
name,25248662,Pekin,eu
name,25248662,Pequín,ext
name,25248662,پکن,fa
name,25248662,Peking,fi
name,25248662,Beijing,fo
name,25248662,Pékin,fr
name,25248662,Pèquin,frp
name,25248662,Béising,ga
name,25248662,北京,gan
name,25248662,Beijing,gd
name,25248662,Pequín - 北京,gl
name,25248662,Pekĩ,gn
name,25248662,બેઇજિંગ,gu
name,25248662,Beijing,gv
name,25248662,Pet-kîn,hak
name,25248662,Beijing,haw
name,25248662,בייג'ין,he
name,25248662,बीजिंग,hi
name,25248662,Beijing,hif
name,25248662,Peking,hr
name,25248662,Peken,ht
name,25248662,Պեկին,hy
name,25248662,Beijing,ia
name,25248662,Beijing,id
name,25248662,Beijing,ilo
name,25248662,Beijing,io
name,25248662,Beijing,is
name,25248662,Pechino,it
name,25248662,北京市,ja
name,25248662,beidjin,jbo
name,25248662,Beijing,jv
name,25248662,პეკინი,ka
name,25248662,Pekin,kab
name,25248662,Бейжің,kk
name,25248662,Beijing,kl
name,25248662,ប៉េកាំង,km
name,25248662,ಬೀಜಿಂಗ್,kn
name,25248662,베이징 시,ko
name,25248662,Pekîn,ku
name,25248662,Пекин,kv
name,25248662,Beijing,kw
name,25248662,Pechinum,la
name,25248662,Пекин,lez
name,25248662,Pechin,lij
name,25248662,Pechin,lmo
name,25248662,ປັກກິ່ງ,lo
name,25248662,Pekinas,lt
name,25248662,Pekina,lv
name,25248662,Beijing,mg
name,25248662,Пекин,mhr
name,25248662,Beijing,mi
name,25248662,Пекинг,mk
name,25248662,ബെയ്‌ജിങ്ങ്,ml
name,25248662,Бээжин,mn
name,25248662,ीजिंग,mr
name,25248662,Beijing,ms
name,25248662,Pequin,mwl
name,25248662,ပေကျင်းမြို့,my
name,25248662,پکن,mzn
name,25248662,Beijing,na
name,25248662,Pequin,nah
name,25248662,बेइजिङ,ne
name,25248662,Peking,nl
name,25248662,Beijing,nn
name,25248662,Beijing,no
name,25248662,Beyjing,nov
name,25248662,Péqùin,nrm
name,25248662,Pequin,oc
name,25248662,Пекин,os
name,25248662,ਬੀਜਿੰਗ,pa
name,25248662,Beijing,pam
name,25248662,Bejing,pap
name,25248662,Beijing,pdc
name,25248662,Pekin,pl
name,25248662,Pechin,pms
name,25248662,بیجنگ,pnb
name,25248662,بېجنګ,ps
name,25248662,Pequim,pt
name,25248662,Pikkin,qu
name,25248662,Beijing,ro
name,25248662,Beijing,roa-rup
name,25248662,Pechine,roa-tara
name,25248662,Пекин,ru
name,25248662,Пекінґ,rue
name,25248662,बीजिङ्ग्,sa
name,25248662,Пекин,sah
name,25248662,Beijing,sc
name,25248662,Pechinu,scn
name,25248662,Beijing,sco
name,25248662,බෙයිජිං,si
name,25248662,Peking,sk
name,25248662,Peking,sl
name,25248662,Beijing,so
name,25248662,Pekini,sq
name,25248662,Пекинг,sr
name,25248662,Beijing,srn
name,25248662,Beijing,su
name,25248662,Beijing,sv
name,25248662,Beijing,sw
name,25248662,Bejdżing,szl
name,25248662,பெய்ஜிங்,ta
name,25248662,బీజింగ్,te
name,25248662,Пекин,tg
name,25248662,ปักกิ่ง,th
name,25248662,Pekin,tk
name,25248662,Beijing,tl
name,25248662,Beijing,tpi
name,25248662,Pekin,tr
name,25248662,Пекин,tt
name,25248662,بېيجىڭ شەھىرى,ug
name,25248662,Пекін,uk
name,25248662,بیجنگ,ur
name,25248662,Pekin,uz
name,25248662,Bắc Kinh,vi
name,25248662,Beijing,war
name,25248662,北京,wuu
name,25248662,Бәәҗң балһсн,xal
name,25248662,პეკინი,xmf
name,25248662,בייזשינג,yi
name,25248662,Beijing,yo
name,25248662,Baekging,za
name,25248662,北京市,zh
name,25248662,北京市,zh-classical
name,25248662,Pak-kiaⁿ-chhī,zh-min-nan
name,25248662,běijīng shì,zh_pinyin
name,25248662,北京市,zh-simplified
name,25248662,北京市,zh-traditional
name,25248662,北京,zh-yue
regular,25248662,北平,old_name
old_name,25248662,Komara Gel a Çînê,ku
old_name,25248662,Bắc Bình,vi
regular,25248662,city,place
regular,25248662,13133000,population
regular,25248662,0,rank
regular,25248662,京,ref
ref,25248662,BJ,en
ref,25248662,Kinh,vi
regular,25248662,Q956,wikidata
regular,25248662,en:Beijing,wikipedia
regular,339088654,安定门,name
regular,339088654,yes,subway
name,339088654,Andingmen,en
name,339088654,Аньдинмэнь,ru
name,339088654,安定门,zh
regular,339088654,station,railway
regular,339088654,stop_position,public_transport
regular,700771136,东二旗村,name
regular,700771136,village,place
name,700771136,Dong'er Qicun,zh_pinyin
regular,983351383,bicycle_parking,amenity
regular,1037703596,tower,man_made
regular,1230360715,tower,power
regular,1296102340,subway_entrance,railway
regular,1366335070,清河,name
name,1366335070,Qinghe,en
name,1366335070,Цинхе,ru
name,1366335070,清河,zh
regular,1366335070,station,railway
regular,1366335070,stop_position,public_transport
regular,1634360897,parking,amenity
regular,1634360897,underground,parking
regular,1732871781,traffic_signals,highway
regular,1814002008,利泽中街西口,name
regular,1814002008,bus_stop,highway
regular,1814002008,stop_position,public_transport
regular,1836981068,no,bench
regular,1836981068,platform,highway
regular,1836981068,no,shelter
regular,1836981068,platform,public_transport
regular,1859765964,天坛南门,name
regular,1859765964,bus_stop,highway
regular,1859765964,stop_position,public_transport
regular,1869797137,no,bench
regular,1869797137,platform,highway
regular,1869797137,no,shelter
regular,1869797137,platform,public_transport
regular,1923816000,crossing,highway
regular,1923816000,uncontrolled,crossing
regular,1968350967,地铁苹果园站,name
regular,1968350967,bus_stop,highway
regular,1968350967,stop_position,public_transport
regular,1984344346,丽泽桥,name
regular,1984344346,bus_stop,highway
regular,1984344346,stop_position,public_transport
regular,2098437757,traffic_signals,highway
regular,2272456648,only a flashing yellow light,note
regular,2272456648,traffic_signals,highway
regular,2478925052,gate,barrier
regular,2503842689,城铁北苑站,name
regular,2503842689,bus_stop,highway
regular,2503842689,stop_position,public_transport
regular,2578148704,玉泉营桥南,name
regular,2578148704,bus_stop,highway
regular,2578148704,stop_position,public_transport
regular,2803711022,tower,power
regular,2806090823,tower,power
regular,2807838908,tower,power
regular,2812697658,tower,power
regular,2812697658,Bing,source
regular,2814264819,tower,power
regular,2820053443,tower,power
regular,2823096105,tower,power
regular,2823096105,Bing,source
regular,2834132959,tower,power
regular,2834132959,Bing,source
regular,2839068601,tower,power
regular,2839068601,Bing,source
regular,2844537114,tower,power
regular,2844537114,Bing,source
regular,2987572533,中国建设银行,name
regular,2987572533,bank,amenity
regular,3143026979,666,name
regular,3143026979,cafe,amenity
regular,3187587065,tower,power
regular,3742405283,随意,name
regular,3781462838,tower,power
regular,3781516500,tower,power
regular,4114502400,218,name
regular,4114502400,gate,aeroway
regular,4471355365,tower,power
regular,4824683977,峪口,name
