user,timestamp,changeset,uid,version,id
Lackness Franc,2008-07-31T15:00:43Z,639156,53125,1,25895788
Lackness Franc,2008-12-22T13:54:32Z,555083,53125,1,29178837
hanchao,2014-08-14T07:45:26Z,24738717,499500,3,30803075
R438,2012-03-13T12:11:33Z,10965864,376715,5,33803505
jamesks,2017-02-20T22:29:03Z,46257649,2500,5,40745413
liangent,2010-12-02T09:33:40Z,6512601,160971,3,42491092
jamesks,2016-06-21T11:39:33Z,40178269,2500,16,42941180
nuklearerWintersturm,2009-11-07T23:47:27Z,3060075,75424,1,43977772
Popolon,2012-12-27T00:03:37Z,14419882,27454,5,47691618
katpatuka,2010-04-13T06:24:58Z,4410786,17497,2,55334711
AtonX,2013-09-12T15:19:48Z,17801618,383309,2,59174592
R438,2012-05-21T11:10:09Z,11660738,376715,2,60110810
tlpinney,2010-10-09T22:26:19Z,5997893,24084,2,80899825
jaimemd,2016-05-13T17:39:32Z,39297357,404532,7,89375367
R438,2011-03-02T10:52:03Z,7436682,376715,1,102404841
Esperanza36,2011-04-03T08:53:45Z,7751518,83557,1,107011220
R438,2011-05-18T13:53:28Z,8181345,376715,1,113814500
Chen Jia,2016-01-04T14:34:34Z,36361046,288524,6,117091205
R438,2012-07-28T19:38:40Z,12527445,376715,2,120276771
R438,2012-05-25T16:37:16Z,11699932,376715,3,121375736
R438,2012-07-19T19:15:15Z,12344560,376715,4,122214336
R438,2012-05-08T04:35:29Z,11535618,376715,7,127468286
JasonFriedt,2011-09-02T13:19:55Z,9193050,133411,1,128623105
goldenfly5,2017-02-10T22:30:19Z,45985855,5176747,3,136512026
Whitelion808,2012-01-06T04:00:54Z,10307739,242896,1,144356228
R438,2012-02-16T06:34:14Z,10699026,376715,1,150587400
R438,2012-03-01T09:35:34Z,10835784,376715,1,152607487
R438,2012-03-22T12:14:21Z,11062209,376715,1,156319713
R438,2012-09-20T05:56:44Z,13179361,376715,5,159524588
Tronikon,2014-01-10T23:05:12Z,19926938,123364,2,161661641
R438,2012-07-07T06:58:17Z,12137241,376715,4,163896066
R438,2012-05-28T06:26:40Z,11722854,376715,1,165274744
R438,2012-06-16T18:55:53Z,11918229,376715,1,167657292
Chen Jia,2015-04-15T11:43:08Z,30234041,288524,4,169658778
R438,2012-07-21T17:00:40Z,12415418,376715,2,170765062
MrBoot,2012-07-26T08:19:59Z,12495840,114770,1,173019406
R438,2012-08-04T20:15:34Z,12613899,376715,1,174531746
